stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
300454,"KINGS HY/NOSTRAND AV",,  40.615810, -73.944984,,,0,
300455,"KINGS HY/AV N",,  40.617271, -73.943436,,,0,
300456,"KINGS HY/NEW YORK AV",,  40.618767, -73.942146,,,0,
300457,"KINGS HY/E 35 ST",,  40.620674, -73.940491,,,0,
300458,"KINGS HY/E 37 ST",,  40.621422, -73.939293,,,0,
300460,"KINGS HY/E 38 ST",,  40.621975, -73.938110,,,0,
300461,"KINGS HY/E 37 ST",,  40.621681, -73.939011,,,0,
300462,"KINGS HY/E 35 ST",,  40.620693, -73.940712,,,0,
300464,"KINGS HY/AV N",,  40.617535, -73.943443,,,0,
300465,"KINGS HY/NOSTRAND AV",,  40.616241, -73.944717,,,0,
300466,"KINGS HY/E 28 ST",,  40.614956, -73.946480,,,0,
300469,"KINGS HY/E 22 ST",,  40.611397, -73.951523,,,0,
300470,"AV P/OCEAN AV",,  40.610985, -73.954086,,,0,
300471,"E 18 ST/AV P",,  40.610340, -73.955734,,,0,
300472,"KINGS HY/E 16 ST",,  40.608974, -73.957916,,,0,
300473,"KINGS HY/E 13 ST",,  40.608128, -73.959953,,,0,
300474,"KINGS HY/CONEY ISLAND AV",,  40.607250, -73.962372,,,0,
300475,"KINGS HY/E 8 ST",,  40.606373, -73.965126,,,0,
300476,"KINGS HY/OCEAN PY",,  40.605846, -73.966629,,,0,
300477,"KINGS HY/E 4 ST",,  40.604568, -73.969490,,,0,
300478,"KINGS HY/MC DONALD AV",,  40.604267, -73.971909,,,0,
300480,"KINGS HY/W 2 ST",,  40.604630, -73.975533,,,0,
